,tutkintokerta,koulun_nro,koulun_nimi,opetuskieli,tyyppi,sukup,yht,A,O,Z,I,W,Q,A5,O5,M,N,BI,FF,FY,HI,PS,UE,UO,ET,GE,KE,TE,YH,BA,BB,CA,CB,EA,FA,SA,PA,VA,EC,FC,SC,PC,VC,DC,IC,QC,GC,TC,L1,L7,opintotausta
286,2019K,1503,Maunulan yhteiskoulu ja Helsingin matematiikkalukio,FI,,2,24,4.0,,,,,,,,,4.0,,,,3.0,3.0,,,,,,6.0,,,,,,4.0,,,,,,,,,,,,,,,,,1
287,2019K,1503,Maunulan yhteiskoulu ja Helsingin matematiikkalukio,FI,,1,21,2.0,,,,,,,,,4.0,,,,4.0,,,,,,,,3.0,,4.0,,,4.0,,,,,,,,,,,,,,,,,1
288,2019K,1503,Maunulan yhteiskoulu ja Helsingin matematiikkalukio,FI,,2,10,3.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1
289,2019K,1503,Maunulan yhteiskoulu ja Helsingin matematiikkalukio,FI,,1,16,3.0,,,,,,,,4.0,,,,4.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,1
290,2019K,1503,Maunulan yhteiskoulu ja Helsingin matematiikkalukio,FI,,1,13,3.0,,,,,,,,,4.0,,,,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1
291,2019K,1503,Maunulan yhteiskoulu ja Helsingin matematiikkalukio,FI,,1,21,,,,,,,5.0,,3.0,,,,,4.0,,,,,,,,4.0,,,,,5.0,,,,,,,,,,,,,,,,,1
292,2019K,1503,Maunulan yhteiskoulu ja Helsingin matematiikkalukio,FI,,1,22,4.0,,,,,,,,,3.0,,,,5.0,,,,,,,,6.0,,,,,4.0,,,,,,,,,,,,,,,,,1
293,2019K,1503,Maunulan yhteiskoulu ja Helsingin matematiikkalukio,FI,,1,28,,,,,,,5.0,,7.0,,,,6.0,,,,,,,6.0,,,,,,,4.0,,,,,,,,,,,,,,,,,1
294,2019K,1503,Maunulan yhteiskoulu ja Helsingin matematiikkalukio,FI,,1,21,3.0,,,,,,,,5.0,,,,4.0,4.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,1
295,2019K,1503,Maunulan yhteiskoulu ja Helsingin matematiikkalukio,FI,,2,26,6.0,,,,,,,,,,,,,4.0,,,,,,,5.0,4.0,3.0,,,,4.0,,,,,,,,,,,,,,,,,1
296,2019K,1503,Maunulan yhteiskoulu ja Helsingin matematiikkalukio,FI,,1,14,2.0,,,,,,,,,4.0,,,,3.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,1
297,2019K,1503,Maunulan yhteiskoulu ja Helsingin matematiikkalukio,FI,,1,20,3.0,,,,,,,,,,,,,5.0,,,,,,,,,,4.0,,,4.0,,,,,,,4.0,,,,,,,,,,1
298,2019K,1503,Maunulan yhteiskoulu ja Helsingin matematiikkalukio,FI,,1,13,2.0,,,,,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,1
