,tutkintokerta,koulun_nro,koulun_nimi,opetuskieli,tyyppi,sukup,yht,A,O,Z,I,W,Q,A5,O5,M,N,BI,FF,FY,HI,PS,UE,UO,ET,GE,KE,TE,YH,BA,BB,CA,CB,EA,FA,SA,PA,VA,EC,FC,SC,PC,VC,DC,IC,QC,GC,TC,L1,L7,opintotausta
854,2019K,1814,Tampereen aikuislukio,FI,,1,22,5.0,,,,,,,,4.0,,,,2.0,,,,,,,5.0,,,,,,,6.0,,,,,,,,,,,,,,,,,2
855,2019K,1814,Tampereen aikuislukio,FI,,2,30,7.0,,,,,,,,,,6.0,,,,4.0,,,,,,,,,6.0,,,7.0,,,,,,,,,,,,,,,,,1
856,2019K,1814,Tampereen aikuislukio,FI,,1,14,4.0,,,,,,,,,,,,,4.0,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,1
857,2019K,1814,Tampereen aikuislukio,FI,,1,12,2.0,,,,,,,,,2.0,,,,3.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,1
858,2019K,1814,Tampereen aikuislukio,FI,,2,19,5.0,,,,,,,,,,,,,,4.0,,,,,,,,,4.0,,,6.0,,,,,,,,,,,,,,,,,1
859,2019K,1814,Tampereen aikuislukio,FI,,2,12,4.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,2
860,2019K,1814,Tampereen aikuislukio,FI,,1,16,3.0,,,,,,,,,3.0,,,,,,,,,4.0,,,3.0,,,,,3.0,,,,,,,,,,,,,,,,,1
861,2019K,1814,Tampereen aikuislukio,FI,,2,14,4.0,,,,,,,,,,,,,,,,,,,,4.0,,,3.0,,,3.0,,,,,,,,,,,,,,,,,2
862,2019K,1814,Tampereen aikuislukio,FI,,2,23,6.0,,,,,,,,,6.0,,,,,,,,,,,7.0,,,,,,4.0,,,,,,,,,,,,,,,,,2
863,2019K,1814,Tampereen aikuislukio,FI,,1,25,7.0,,,,,,,,,7.0,,,,,4.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,1
864,2019K,1814,Tampereen aikuislukio,FI,,1,20,4.0,,,,,,,,,5.0,,,3.0,,,,,,,4.0,,,,,,,4.0,,,,,,,,,,,,,,,,,2
865,2019K,1814,Tampereen aikuislukio,FI,,2,21,5.0,,,,,,,,,4.0,5.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,1
866,2019K,1814,Tampereen aikuislukio,FI,,2,18,4.0,,,,,,,,,3.0,3.0,,,,,,,,3.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,1
867,2019K,1814,Tampereen aikuislukio,FI,,1,13,3.0,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,2
868,2019K,1814,Tampereen aikuislukio,FI,,1,11,,,,,,,3.0,,,2.0,,,,,2.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,1
869,2019K,1814,Tampereen aikuislukio,FI,,2,23,6.0,,,,,,,,,6.0,5.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,1
870,2019K,1814,Tampereen aikuislukio,FI,,2,22,6.0,,,,,,,,,7.0,,,,,3.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,2
871,2019K,1814,Tampereen aikuislukio,FI,,1,17,4.0,,,,,,,,3.0,,,,3.0,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,1
872,2019K,1814,Tampereen aikuislukio,FI,,1,31,6.0,,,,,,,,,7.0,,,,,,,,,,,,7.0,,5.0,,,6.0,,,,,,,,,,,,,,,,,2
873,2019K,1814,Tampereen aikuislukio,FI,,1,23,5.0,,,,,,,,,4.0,,,,5.0,,,,,,,,6.0,,,,,3.0,,,,,,,,,,,,,,,,,1
874,2019K,1814,Tampereen aikuislukio,FI,,2,13,4.0,,,,,,,,,,,,,,4.0,,,,,,,2.0,,0.0,,,3.0,,,,,,,,,,,,,,,,,1
875,2019K,1814,Tampereen aikuislukio,FI,,2,24,5.0,,,,,,,,,7.0,4.0,,,,,,,,5.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,2
876,2019K,1814,Tampereen aikuislukio,FI,,1,29,4.0,,,,,,,,,5.0,,,,5.0,,,,,4.0,,,4.0,,,,,7.0,,,,,,,,,,,,,,,,,1
877,2019K,1814,Tampereen aikuislukio,FI,,2,14,3.0,,,,,,,,,3.0,,,,,4.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,1
878,2019K,1814,Tampereen aikuislukio,FI,,2,27,6.0,,,,,,,,,6.0,6.0,,,,,,,,,,,,,5.0,,,4.0,,,,,,,,,,,,,,,,,2
879,2019K,1814,Tampereen aikuislukio,FI,,2,19,6.0,,,,,,,,,,,,,,,3.0,,,,,,,,4.0,,,6.0,,,,,,,,,,,,,,,,,1
880,2019K,1814,Tampereen aikuislukio,FI,,2,20,6.0,,,,,,,,,6.0,,,,,,,,,,,6.0,,,,,,2.0,,,,,,,,,,,,,,,,,2
881,2019K,1814,Tampereen aikuislukio,FI,,1,30,,,,,,,3.0,,3.0,,5.0,,4.0,,,,,,,4.0,,,,,,,5.0,,,,,,6.0,,,,,,,,,,,1
882,2019K,1814,Tampereen aikuislukio,FI,,2,13,5.0,,,,,,,,,,,2.0,,,,,,4.0,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,2
883,2019K,1814,Tampereen aikuislukio,FI,,2,13,3.0,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,1
884,2019K,1814,Tampereen aikuislukio,FI,,1,19,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,3.0,,,6.0,,,,,,,,,,,,,,,,,2
885,2019K,1814,Tampereen aikuislukio,FI,,2,17,4.0,,,,,,,,,5.0,4.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,1
886,2019K,1814,Tampereen aikuislukio,FI,,1,18,5.0,,,,,,,,,3.0,4.0,,,,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,2
887,2019K,1814,Tampereen aikuislukio,FI,,2,20,5.0,,,,,,,,,,,,,,5.0,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,2
888,2019K,1814,Tampereen aikuislukio,FI,,2,18,4.0,,,,,,,,,6.0,,,,,,,,,,,5.0,,,,,,3.0,,,,,,,,,,,,,,,,,1
889,2019K,1814,Tampereen aikuislukio,FI,,2,16,5.0,,,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,5.0,,,,,,,,,,,,,,,,,1
890,2019K,1814,Tampereen aikuislukio,FI,,2,37,6.0,,,,,,,,,7.0,7.0,,5.0,,,,,,,6.0,,,,,,,6.0,,,,,,,,,,,,,,,,,2
891,2019K,1814,Tampereen aikuislukio,FI,,1,15,4.0,,,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,6.0,,,,,,,,,,,,,,,,,1
892,2019K,1814,Tampereen aikuislukio,FI,,1,18,3.0,,,,,,,,,6.0,,,,,,,,,,3.0,,,,,,,6.0,,,,,,,,,,,,,,,,,1
893,2019K,1814,Tampereen aikuislukio,FI,,2,21,5.0,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,1
894,2019K,1814,Tampereen aikuislukio,FI,,2,11,2.0,,,,,,,,,3.0,,,,,,,,,,,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,2
895,2019K,1814,Tampereen aikuislukio,FI,,2,15,5.0,,,,,,,,,2.0,,,,,,,,,,,5.0,,,,,,3.0,,,,,,,,,,,,,,,,,1
896,2019K,1814,Tampereen aikuislukio,FI,,2,19,4.0,,,,,,,,3.0,,3.0,,,,,,,,,,,,2.0,,,,,,,,,7.0,,,,,,,,,,,,1
897,2019K,1814,Tampereen aikuislukio,FI,,2,10,,,,,,,4.0,,,2.0,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,1
898,2019K,1814,Tampereen aikuislukio,FI,,2,14,2.0,,,,,,,,5.0,,,,,,,,,,,,4.0,,,,,,,,,,,3.0,,,,,,,,,,,,2
899,2019K,1814,Tampereen aikuislukio,FI,,2,16,3.0,,,,,,,,,5.0,,,,,3.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,2
900,2019K,1814,Tampereen aikuislukio,FI,,1,18,5.0,,,,,,,,3.0,,,,4.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,1
901,2019K,1814,Tampereen aikuislukio,FI,,2,15,4.0,,,,,,,,,,,,,4.0,,,,4.0,,,,,,0.0,,,3.0,,,,,,,,,,,,,,,,,1
902,2019K,1814,Tampereen aikuislukio,FI,,1,21,4.0,,,,,,,,,7.0,,,,,3.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,1
903,2019K,1814,Tampereen aikuislukio,FI,,2,20,5.0,,,,,,,,6.0,,,,,6.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,2
904,2019K,1814,Tampereen aikuislukio,FI,,1,16,2.0,,,,,,,,,5.0,,,,,,,,,4.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,1
905,2019K,1814,Tampereen aikuislukio,FI,,1,13,4.0,,,,,,,,3.0,,,,,,,,,,4.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,1
906,2019K,1814,Tampereen aikuislukio,FI,,2,11,3.0,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,3.0,,,,,,,,,,,,,,,,,2
907,2019K,1814,Tampereen aikuislukio,FI,,2,23,5.0,,,,,,,,,,4.0,,,,,,,,5.0,,,,,3.0,,,6.0,,,,,,,,,,,,,,,,,1
5492,2019K,1048,Tampereen teknillinen lukio,FI,,2,17,4.0,,,,,,,,,4.0,,,,,,,,,,,3.0,,,3.0,,,3.0,,,,,,,,,,,,,,,,,3
5493,2019K,1048,Tampereen teknillinen lukio,FI,,1,21,3.0,,,,,,,,,5.0,,,,,,,,,4.0,,,5.0,,,,,4.0,,,,,,,,,,,,,,,,,1
5494,2019K,1048,Tampereen teknillinen lukio,FI,,1,20,4.0,,,,,,,,,4.0,4.0,,,,,,,,4.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,1
5495,2019K,1048,Tampereen teknillinen lukio,FI,,2,15,4.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,2
5496,2019K,1048,Tampereen teknillinen lukio,FI,,1,20,4.0,,,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,2
5497,2019K,1048,Tampereen teknillinen lukio,FI,,1,12,3.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,2
5498,2019K,1048,Tampereen teknillinen lukio,FI,,1,20,6.0,,,,,,,,,,,5.0,,,,,,,,,4.0,,,3.0,,,2.0,,,,,,,,,,,,,,,,,1
5499,2019K,1048,Tampereen teknillinen lukio,FI,,2,13,3.0,,,,,,,,,2.0,,,,,,,,,,,3.0,3.0,0.0,,,,,,,,,2.0,,,,,,,,,,,,3
5500,2019K,1048,Tampereen teknillinen lukio,FI,,1,16,3.0,,,,,,,,,4.0,,,,,,,,,,,,3.0,,,,,6.0,,,,,,,,,,,,,,,,,3
5501,2019K,1048,Tampereen teknillinen lukio,FI,,2,21,5.0,,,,,,,,,7.0,,,,,,,,,,,,,,5.0,,,4.0,,,,,,,,,,,,,,,,,3
5502,2019K,1048,Tampereen teknillinen lukio,FI,,1,17,3.0,,,,,,,,5.0,,,,3.0,,,,,,,,,,,,,,4.0,,,,,,,2.0,,,,,,,,,,1
5503,2019K,1048,Tampereen teknillinen lukio,FI,,2,10,3.0,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,3
5504,2019K,1048,Tampereen teknillinen lukio,FI,,1,22,4.0,,,,,,,,,2.0,,4.0,,5.0,,,,,,,,5.0,,,,,2.0,,,,,,,,,,,,,,,,,1
5505,2019K,1048,Tampereen teknillinen lukio,FI,,2,13,5.0,,,,,,,,,4.0,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,3
5506,2019K,1048,Tampereen teknillinen lukio,FI,,2,14,4.0,,,,,,,,,,,,,,,,,,,,2.0,,,3.0,,,5.0,,,,,,,,,,,,,,,,,2
5507,2019K,1048,Tampereen teknillinen lukio,FI,,2,11,3.0,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,3.0,,,,,,,,,,,,,,,,,3
5508,2019K,1048,Tampereen teknillinen lukio,FI,,1,16,3.0,,,,,,,,3.0,,,,,4.0,,,,,,,,3.0,,,,,3.0,,,,,,,,,,,,,,,,,1
5509,2019K,1048,Tampereen teknillinen lukio,FI,,2,15,4.0,,,,,,,,,3.0,,,,,,,,,,,,,,4.0,,,4.0,,,,,,,,,,,,,,,,,3
5510,2019K,1048,Tampereen teknillinen lukio,FI,,1,19,4.0,,,,,,,,5.0,,3.0,,4.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1
5511,2019K,1048,Tampereen teknillinen lukio,FI,,1,21,5.0,,,,,,,,,5.0,,,,,,,,,4.0,,,,,3.0,,,4.0,,,,,,,,,,,,,,,,,1
5512,2019K,1048,Tampereen teknillinen lukio,FI,,1,16,3.0,,,,,,,,4.0,,,,3.0,,,,,,,2.0,,,,,,,4.0,,,,,,,,,,,,,,,,,1
5513,2019K,1048,Tampereen teknillinen lukio,FI,,2,13,4.0,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,,3.0,,,,,,,,,,,,,,,,,3
5514,2019K,1048,Tampereen teknillinen lukio,FI,,1,21,3.0,,,,,,,,4.0,,,,5.0,,,,,,,4.0,,,,,,,5.0,,,,,,,,,,,,,,,,,1
5515,2019K,1048,Tampereen teknillinen lukio,FI,,1,14,3.0,,,,,,,,,2.0,,,,,,,,,,,,4.0,,,,,5.0,,,,,,,,,,,,,,,,,3
5516,2019K,1048,Tampereen teknillinen lukio,FI,,2,13,2.0,,,,,,,,,4.0,,,,,,,,,,,3.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,3
5517,2019K,1048,Tampereen teknillinen lukio,FI,,1,32,4.0,,,,,,,,,,,6.0,,,,,,,6.0,,,6.0,,5.0,,,5.0,,,,,,,,,,,,,,,,,1
5518,2019K,1048,Tampereen teknillinen lukio,FI,,1,17,0.0,,,,,,,,,7.0,,,,3.0,,,,,4.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,1
5519,2019K,1048,Tampereen teknillinen lukio,FI,,2,27,5.0,,,,,,,,,,,,,,4.0,,,,4.0,,5.0,,,4.0,,,5.0,,,,,,,,,,,,,,,,,1
5520,2019K,1048,Tampereen teknillinen lukio,FI,,1,24,3.0,,,,,,,,4.0,,6.0,,4.0,,,,,,,4.0,,,,,,,3.0,,,,,,,,,,,,,,,,,1
5521,2019K,1048,Tampereen teknillinen lukio,FI,,1,18,2.0,,,,,,,,2.0,,,,,,,,,,,3.0,,,,3.0,,,5.0,,,,,,,3.0,,,,,,,,,,1
5522,2019K,1048,Tampereen teknillinen lukio,FI,,1,15,3.0,,,,,,,,,5.0,,,,,,,,,,,,3.0,,,,,4.0,,,,,,,,,,,,,,,,,3
5523,2019K,1048,Tampereen teknillinen lukio,FI,,2,48,7.0,,,,,,,,7.0,,7.0,,7.0,,7.0,,,,,,,,,7.0,,,6.0,,,,,,,,,,,,,,,,,1
5524,2019K,1048,Tampereen teknillinen lukio,FI,,2,16,3.0,,,,,,,,,5.0,,,,,,,,,,,4.0,,0.0,,,,,,,,,4.0,,,,,,,,,,,,3
5525,2019K,1048,Tampereen teknillinen lukio,FI,,1,14,3.0,,,,,,,,,5.0,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,3
5526,2019K,1048,Tampereen teknillinen lukio,FI,,2,20,5.0,,,,,,,,4.0,,3.0,,,,,,,,,5.0,,,,,,,3.0,,,,,,,,,,,,,,,,,3
5527,2019K,1048,Tampereen teknillinen lukio,FI,,1,14,5.0,,,,,,,,,4.0,,,,,,,,,,,,,,2.0,,,3.0,,,,,,,,,,,,,,,,,3
5528,2019K,1048,Tampereen teknillinen lukio,FI,,1,16,4.0,,,,,,,,,3.0,,,,,,,,,,,,4.0,,,,,5.0,,,,,,,,,,,,,,,,,3
5529,2019K,1048,Tampereen teknillinen lukio,FI,,2,11,2.0,,,,,,,,,3.0,,,,,,,,,,,2.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,3
5530,2019K,1048,Tampereen teknillinen lukio,FI,,2,19,3.0,,,,,,,,,4.0,,,,5.0,3.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,1
5531,2019K,1048,Tampereen teknillinen lukio,FI,,2,12,2.0,,,,,,,,,,,,,2.0,,,,,,,3.0,,,2.0,,,3.0,,,,,,,,,,,,,,,,,1
5532,2019K,1048,Tampereen teknillinen lukio,FI,,1,23,7.0,,,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,2
5533,2019K,1048,Tampereen teknillinen lukio,FI,,1,11,4.0,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,3
5534,2019K,1048,Tampereen teknillinen lukio,FI,,1,18,4.0,,,,,,,,,6.0,,,,,,,,,,,,4.0,,,,,4.0,,,,,,,,,,,,,,,,,3
5535,2019K,1048,Tampereen teknillinen lukio,FI,,1,32,6.0,,,,,,,,5.0,,,,4.0,6.0,,,,,,5.0,,,,,,,6.0,,,,,,,,,,,,,,,,,1
5536,2019K,1048,Tampereen teknillinen lukio,FI,,1,21,4.0,,,,,,,,5.0,,,,6.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,2
5537,2019K,1048,Tampereen teknillinen lukio,FI,,2,12,3.0,,,,,,,,,,,,,,3.0,,,,2.0,,2.0,,,0.0,,,2.0,,,,,,,,,,,,,,,,,1
5538,2019K,1048,Tampereen teknillinen lukio,FI,,2,10,4.0,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,3
5539,2019K,1048,Tampereen teknillinen lukio,FI,,1,21,4.0,,,,,,,,3.0,,,,,,,,,,3.0,,,4.0,,3.0,,,4.0,,,,,,,,,,,,,,,,,1
5540,2019K,1048,Tampereen teknillinen lukio,FI,,2,19,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,4.0,,,,,,,,,,,,,,,,,3
5541,2019K,1048,Tampereen teknillinen lukio,FI,,1,13,,,,,,,3.0,,,2.0,2.0,,,,,,,,,,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,1
